ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
169,エースコック,カップ,スーパーカップMAX　みそラーメン,あり,138,100,543,12.3,19.3,79.9,2.3,5.2,0.47,0.58,368
170,エースコック,カップ,スーパーカップMAX　しょうゆラーメン,あり,119,100,522,10.2,20.7,73.7,2.6,4.6,0.47,0.53,340
171,エースコック,カップ,もちもちラーメン,あり,112,60,364,7.6,10,61,1.5,4.3,0.29,0.46,235
172,エースコック,カップ,力うどん,あり,99,60,358,7.6,10.2,59,1.7,3.7,0.27,0.3,206
173,エースコック,カップ,勝浦タンタンメン,あり,98,60,356,8,12,54.1,1.5,5.2,,,265
174,エースコック,カップ,どっさり野菜　塩タンメン,あり,60,45,242,5.2,6.8,41.1,1.3,2.6,0.24,0.24,175
175,エースコック,カップ,どっさり野菜　ちゃんぽん,あり,61,45,261,5.8,8.8,40.7,0.9,2.4,0.23,0.25,163
176,エースコック,カップ,ミニワンタンメン　タンメン味,あり,39,30,166,3.6,5.6,25.2,0.7,1.7,0.1,0.14,121
177,エースコック,カップ,ワンタンメンどんぶり　タンメン味,あり,79,64,336,7.3,11.7,50.4,1.6,4.1,0.26,0.31,252
178,エースコック,カップ,ベビースターラーメン　カップめん　ピリ辛チキン味,あり,54,50,224,6.6,6.9,33.9,1.5,3,0.27,0.34,197
179,エースコック,カップ,ベビースターラーメン　カップめん　チキン味,あり,54,50,225,6.5,7.2,33.5,1.3,3.2,0.27,0.36,224
180,エースコック,カップ,まる旨　豚骨ラーメン,あり,58,50,261,5.2,10.4,36.7,0.9,2.1,0.29,0.29,178
181,エースコック,カップ,まる旨　味噌ラーメン,あり,59,50,250,5.9,8.3,37.9,1.3,2.5,0.3,0.27,165
182,エースコック,カップ,まる旨　ワンタン中華そば,あり,58,50,253,5.3,9.3,36.9,1,2.4,0.25,0.29,182
183,エースコック,カップ,まる旨　柚子香るそうめん,あり,50,45,222,5.5,9,29.8,1,2.5,,,167
184,エースコック,カップ,まる旨　カレーうどん,あり,65,50,302,5.1,14.3,38.3,1,2.3,0.19,0.25,133
185,エースコック,カップ,まる旨　小海老天そば,あり,57,50,256,7,10,34.4,0.9,2.3,0.27,0.26,147
186,エースコック,カップ,まる旨　きつねうどん,あり,59,50,253,5.1,8.9,38.2,1.4,2.4,0.21,0.25,126
187,エースコック,カップ,ＥＤＧＥ　濃厚たらこ味焼そば,なし,113,90,492,10.3,19.9,68,4.6,,0.4,0.45,328
188,エースコック,カップ,だしの旨みで減塩　中華そば,あり,43,30,170,3.8,7.2,22.6,0.4,1.2,0.11,0.12,118
189,エースコック,カップ,だしの旨みで減塩　小海老天そば,あり,42,30,169,5.2,7,21.4,0.4,1.2,0.1,0.11,71
190,エースコック,カップ,だしの旨みで減塩　鶏炊きうどん,あり,45,30,190,4.1,8.9,23.3,0.4,1.1,0.1,0.12,99
191,エースコック,カップ,(コンビニ限定）スーパーカップ１．５倍　ブタキムラーメン,あり,113,90,487,10.1,18.7,70.9,2.5,5.4,0.55,0.58,270
192,エースコック,カップ,タテロング　リンガーハットの長崎ちゃんぽん,あり,95,70,375,8.1,12.7,58,1.3,4.9,0.27,0.3,201
193,エースコック,カップ,うまさぎっしり新潟　新潟麻婆麺,あり,65,50,274,5.6,10.7,38.9,1.7,2.3,0.55,0.27,198
194,エースコック,カップ,うまさぎっしり新潟　妙高とん汁ラーメン,あり,58,50,252,6.1,8.8,37.2,1.1,2.3,0.33,0.26,168
195,エースコック,カップ,うまさぎっしり新潟　うんめぇ　三条カレーラーメン,あり,62,50,267,5.9,8.9,40.8,1.3,2.7,0.28,0.27,166
196,エースコック,カップ,スーパーカップミニ　野菜ちゃんぽん,あり,42,30,172,3.7,4.6,29,0.4,2.2,0.14,0.17,116
197,エースコック,カップ,一度は食べたい名店の味ミニ　ぜんや　ホタテだし塩ラーメン,あり,42,30,158,3.7,6,22.2,0.5,2.3,0.16,0.18,102
198,エースコック,カップ,大吉　焼豚しょうゆ,あり,71,60,293,7.2,9.9,43.7,1.4,4.8,0.38,0.44,231
199,エースコック,カップ,スーパーカップミニ　もやしみそラーメン,あり,51,30,193,4.5,7.1,2.7,0.7,2.4,0.16,0.21,99
200,サンヨー食品,袋,サッポロ一番　しょうゆ味,あり,100,92,457,9.9,18,63.9,1.5,4.3,0.33,0.58,233
201,サンヨー食品,袋,サッポロ一番　みそラーメン,あり,100,90,448,10.3,17.2,62.9,1.9,3.9,0.33,0.58,217
202,サンヨー食品,袋,サッポロ一番　塩らーめん,あり,100,91,455,10.1,18.6,61.9,2.2,3.9,0.33,0.58,243
203,サンヨー食品,袋,サッポロ一番　ごま味ラーメン,あり,101,88,457,10.1,18.9,61.5,1.4,4.1,0.33,0.58,239
204,サンヨー食品,袋,サッポロ一番　塩とんこつらーめん,あり,97,80,455,10,21,56.6,1.8,4.3,0.33,0.53,229
205,サンヨー食品,袋,サッポロ一番　みそラーメン　旨辛,あり,102,80,441,9.6,177,60.9,2.2,3.6,0.33,0.59,206
206,サンヨー食品,袋,サッポロ一番　ソースやきそば,なし,120,97,529,11.6,22,71.2,3.6,,0.33,0.62,240
207,サンヨー食品,袋,アラビヤン焼そば,なし,100,91,472,9.8,18.9,65.7,3.1,,0.33,0.58,231
208,サンヨー食品,袋,サッポロ一番　元祖ニュータンタンメン本舗監修　タンタンメン,あり,96,80,416,10.4,14.7,60.4,1.2,3.8,0.33,0.58,205
209,サンヨー食品,カップ,サッポロ一番　しょうゆ味どんぶり,あり,72,63,312,5.9,11.8,45.5,1.7,3.7,0.29,0.55,214
210,サンヨー食品,カップ,サッポロ一番　みそラーメンどんぶり,あり,77,62,334,7.3,12.6,47.8,1.8,3.5,0.32,0.55,241
211,サンヨー食品,カップ,サッポロ一番　塩らーめんどんぶり,あり,75,63,331,6,13.2,47,1.7,3.4,0.3,0.55,227
212,サンヨー食品,カップ,サッポロ一番　ごま味ラーメンどんぶり,あり,76,61,338,6.7,13.9,46.5,1.7,4.1,0.33,0.61,220
213,サンヨー食品,カップ,サッポロ一番　カップスター　醤油,あり,72,60,302,8.6,9.3,45.9,2.2,2.5,0.36,0.58,230
214,サンヨー食品,カップ,サッポロ一番　カップスター　旨塩,あり,76,60,348,6.8,14.8,46.9,1.4,2.9,0.33,0.59,200
215,サンヨー食品,カップ,サッポロ一番　カップスター　味噌,あり,79,60,357,8.2,14.8,47.8,2,3.1,0.33,0.58,228
216,サンヨー食品,カップ,サッポロ一番　カップスター　豚骨,あり,77,55,361,8.8,16.6,44,1.6,2.4,0.33,0.59,221
217,サンヨー食品,カップ,サッポロ一番　カップスター　カリーうどん,あり,82,55,366,6.6,14.9,51.3,1.5,3.2,0.35,0.6,194
218,サンヨー食品,カップ,サッポロ一番　カップスター　海老天そば,あり,68,50,298,8,11.1,41.4,1.6,3,0.33,0.59,
219,サンヨー食品,カップ,サッポロ一番　カップスター　きつねうどん,あり,68,50,300,6.7,11.8,41.8,1.7,3,0.33,0.58,
220,サンヨー食品,カップ,名店の味　純連　札幌濃厚みそ,あり,135,70,514,11.9,23,649,2.5,5.6,,,
221,サンヨー食品,カップ,名店の味　桂花　熊本マー油豚骨,あり,123,70,417,10.5,13.6,63.2,2.3,5.6,,,
222,サンヨー食品,カップ,名店の味　天下一品　京都濃厚鶏白湯,あり,134,75,492,15.1,17.7,68.1,3,5.1,,,
223,サンヨー食品,カップ,サッポロ一番　旅麺　会津・喜多方　醤油ラーメン,あり,86,60,323,7.3,13.7,42.7,1.6,4,0.34,0.58,207
224,サンヨー食品,カップ,サッポロ一番　旅麺　横浜家系　豚骨醤油ラーメン,あり,90,60,332,7,14.1,44.2,1.3,3.9,0.35,0.59,237
225,サンヨー食品,カップ,サッポロ一番　旅麺　京都　背脂醤油ラーメン,あり,87,60,344,7.2,15.5,44,1.4,3.4,0.34,0.58,212
226,サンヨー食品,カップ,サッポロ一番　旅麺　札幌　味噌ラーメン,あり,99,60,371,7.6,16.6,47.7,1.8,4.5,0.33,0.6,238
227,サンヨー食品,カップ,サッポロ一番　旅麺　浅草　ソース焼そば,なし,109,85,491,8.3,23.3,62,3.7,,0.33,0.58,
228,サンヨー食品,カップ,サッポロ一番　オタフクお好みソース味焼そば,なし,127,90,562,8.6,24.7,76.3,3.9,,0.59,0.45,
229,サンヨー食品,カップ,サッポロ一番　塩カルビ味焼そば,なし,109,90,553,10.1,29.1,62.7,3.3,,0.33,0.58,
230,サンヨー食品,カップ,サッポロ一番　しょうゆ味ミニどんぶり,あり,42,30,176,3.1,6.1,27.2,0.8,2.5,0.14,0.24,193
231,サンヨー食品,カップ,サッポロ一番　みそラーメンミニどんぶり,あり,46,30,202,4.4,7.6,28.9,1,2,0.15,0.25,205
232,サンヨー食品,カップ,サッポロ一番　塩らーめんミニどんぶり,あり,41,30,175,3.3,6.2,26.5,0.9,1.7,0.13,0.27,200
233,サンヨー食品,カップ,サッポロ一番　ごま味ラーメンミニどんぶり,あり,44,30,188,3.6,7.1,27.4,1,2.5,0.09,0.21,208
234,サンヨー食品,カップ,サッポロ一番　ポケモンヌードル　しょうゆ味,あり,38,30,155,3.7,4.6,24.6,1.1,2,0.33,0.58,403
235,サンヨー食品,カップ,サッポロ一番　ポケモンヌードル　シーフード味,あり,37,30,151,3.6,4.7,23.6,1.2,2,0.33,0.58,410
236,サンヨー食品,袋,サッポロ一番　みそラーメン　冷やし焙煎ごまだれ仕立て,あり,103,90,475,10.6,18.9,65.5,5.7,,0.26,0.59,220
237,サンヨー食品,袋,サッポロ一番　塩らーめん　冷やし瀬戸内レモン味,あり,101,90,450,10.2,17.5,62.9,6,,0.32,0.63,231
238,サンヨー食品,カップ,サッポロ一番　みそラーメンどんぶり　焙煎ごまだれ仕立て,あり,73,57,328,6.9,14,43.6,1.5,3,0.31,0.55,223
239,サンヨー食品,カップ,サッポロ一番　塩らーめんどんぶり　瀬戸内レモン味,あり,70,58,304,5.7,11.4,44.7,1,3.5,0.3,0.53,198
240,サンヨー食品,カップ,ののくら監修　謹製醤油中華そば,あり,91,70,422,7.7,18.9,55.2,1.5,4.2,0.44,0.63,217
241,サンヨー食品,カップ,サッポロ一番　カップスター　スパイシーブラック醤油　タテビッグ,あり,86,65,392,9.8,7.2,49.6,1.8,4.6,,,187
242,サンヨー食品,カップ,にんべん　ゆず香る極鰹だし小海老天そば,あり,66,50,280,8.8,9.6,39.7,1.4,3.3,0.36,0.64,228
243,サンヨー食品,カップ,にんべん　ごま香る極鰹だし肉だしうどん,あり,66,50,302,6.6,13.2,39.3,1.4,3.2,0.35,0.58,206
244,サンヨー食品,カップ,ビャンビャン麺風　西安式旨辛麺,なし,98,70,392,10.7,13.3,57.4,4.5,,0.33,0.58,
245,サンヨー食品,カップ,熱烈中華食堂日高屋監修　中華そば,あり,64,50,276,6.1,11,38.1,1.3,3.5,0.33,0.58,203
246,サンヨー食品,カップ,熱烈中華食堂日高屋監修　野菜たっぷりタンメン,あり,69,50,290,5.3,9.5,45.8,1.7,3.4,0.33,0.58,228
247,サンヨー食品,カップ,元祖ニュータンタンメン本舗監修　タンタンメン,あり,93,70,406,8.3,15.2,59,2.1,4.7,0.34,0.58,216
248,東洋水産,袋,カレーうどん　甘口,あり,101,87,435,8.1,15.5,65.8,2,4,,,182
249,東洋水産,袋,天ぷらそば,あり,93,75,331,11.3,4.7,60.9,2.4,3.5,,,167
250,東洋水産,袋,マルちゃん正麺　醤油味,あり,105,80,333,10.1,4.6,62.8,1.9,3.7,,,179
251,東洋水産,袋,マルちゃん正麺　味噌味,あり,108,80,355,10.3,6.6,63.6,1.6,3.7,,,162
252,東洋水産,袋,マルちゃん正麺　豚骨味,あり,88,75,326,10.9,6.6,55.7,1.5,4.1,,,194
253,東洋水産,袋,マルちゃん正麺　旨塩味,あり,112,80,348,9.7,6.3,63.2,1.6,4.4,,,168
254,東洋水産,袋,マルちゃん正麺　豚骨醤油味,あり,101,80,359,9.8,6.8,64.7,1.6,4.1,,,162
255,東洋水産,袋,マルちゃん正麺　中華そば　和風醤油味,あり,105,75,337,10.7,7.5,56.7,1.5,4.2,,,158
256,東洋水産,袋,マルちゃん正麺 冷し中華,なし,118,80,367,8.1,3.3,76.3,6,,,,189
257,東洋水産,袋,マルちゃん正麺 ごまだれ冷し,なし,120,80,410,8.5,7.9,76.1,5.8,,,,240
258,東洋水産,袋,マルちゃんZUBAAAN! 背脂濃厚醤油,あり,125,80,424,15.1,11.1,66,1.9,5.3,,,175
259,東洋水産,袋,マルちゃんZUBAAAN! 旨コク濃厚味噌,あり,126,80,462,15,15.5,65.5,1.8,5,,,189
260,東洋水産,袋,マルちゃんZUBAAAN! にんにく旨豚醤油,あり,129,80,466,17.7,15,65,1.8,5,,,168
261,東洋水産,袋,冷しラーメン,なし,118,85,377,11.6,2.8,76.4,5.4,,,,189
262,東洋水産,袋,昔ながらの中華そば,あり,108,80,319,9.4,4.5,60.1,2.5,4.1,,,156
263,東洋水産,袋,昔ながらのみそラーメン,あり,106,80,338,10.4,4.8,63.2,2.1,3.3,,,167
264,東洋水産,袋,しょうゆ味ラーメン,あり,100,87,416,10.6,15.8,57.9,1.7,4.2,,,220
265,東洋水産,袋,みそ味ラーメン,あり,100,90,436,11.3,16.9,59.7,1.6,4.3,,,200
266,東洋水産,袋,塩ラーメン,あり,100,91,438,10.3,17.6,59.7,2,4.2,,,210
267,東洋水産,袋,赤みそラーメン,あり,110,80,451,12.5,18.9,57.8,1.6,4.6,,,176
268,東洋水産,袋,スープカレーラーメン,あり,93,80,480,10.2,15.3,57.4,1.5,3.5,,,195
269,東洋水産,袋,屋台十八番　しょうゆ,あり,95,80,399,9.5,15.7,54.8,1.9,3.4,,,171
270,東洋水産,袋,屋台十八番　みそ,あり,92,80,412,10.2,16,56.9,2.1,3.5,,,175
271,東洋水産,袋,屋台十八番　しお,あり,92,80,403,9.8,16.1,54.6,2.1,3.7,,,175
272,東洋水産,袋,屋台十八番　旨辛,あり,93,80,432,9.4,18.8,56.3,2.2,3.5,,,177
273,東洋水産,袋,屋台十八番　なま味しょうゆ,あり,97,80,316,9.3,4.7,59,1.6,3.5,,,155
274,東洋水産,袋,屋台十八番　なま味みそ,あり,105,80,346,10.2,6.3,62,1.8,3.5,,,168
275,東洋水産,袋,屋台十八番　なま味煮干中華そば,あり,109,80,334,10,5.3,61.6,2.4,3.7,,,174
276,東洋水産,袋,ダブルラーメン しょうゆ,あり,182,170,806,20.4,31.2,111,3.4,7.6,,,364
277,東洋水産,袋,ダブルラーメン みそ,あり,186,170,820,21,31.8,112.2,3.2,7.6,,,374
278,東洋水産,袋,ダブルラーメン しお,あり,184,170,816,20.4,32.2,111.2,3.4,7.4,,,386
279,東洋水産,袋,ハイラーメン,あり,83,77,360,7.9,13.4,51.9,1.3,3.8,,,166
280,東洋水産,袋,まんぞくの一杯　しょうゆ,あり,83,77,370,9,14.8,50.1,1.6,3,,,174
281,東洋水産,袋,まんぞくの一杯　みそ,あり,85,77,374,9.6,14.4,51.4,1.6,3.6,,,170
282,東洋水産,袋,まんぞくの一杯　しお,あり,84,77,373,9.2,15,50.4,1.6,3.5,,,176
283,東洋水産,袋,マルちゃん正麺 焼そば,なし,110,80,369,8,6.6,69.4,3.9,,,,176
284,東洋水産,袋,焼そば,なし,100,90,452,9.3,17.3,64.7,3.8,,,,210
285,東洋水産,袋,焼そばやきっぺ,なし,114,93,482,12.2,20,63.3,4.1,,,,205
286,東洋水産,袋,沖縄そば,あり,92,85,403,9.4,13.8,60.4,1.6,3.1,,,202
287,東洋水産,カップ,赤いきつねうどん　東,あり,96,74,432,10.6,19.1,54.4,2.8,3.8,0.31,0.31,172
288,東洋水産,カップ,赤いきつねうどん　西,あり,96,74,436,10.4,20.2,53.2,2.6,3.5,0.31,0.29,183
289,東洋水産,カップ,赤いきつねうどん　関西,あり,96,74,432,10.3,19.1,54.6,2,3.4,0.29,0.3,174
290,東洋水産,カップ,赤いきつねうどん　北海道,あり,96,74,440,10.5,20,54,2,3.6,0.59,0.28,182
291,東洋水産,カップ,赤いきつねうどん でか盛(東向け),あり,136,100,635,15.2,30,76.1,3.3,5,0.38,0.4,224
292,東洋水産,カップ,赤いきつねうどん でか盛(西向け),あり,136,100,635,15.1,30,76.2,3.5,4.8,0.37,0.4,230
293,東洋水産,カップ,赤いきつねうどん ふっくらお揚げ2枚入り (東向け),あり,98,74,439,11.4,20,53.4,2.5,3.7,0.29,0.32,166
294,東洋水産,カップ,赤いきつねうどん ふっくらお揚げ2枚入り (西向け),あり,98,74,439,11.1,19.4,55.1,2.5,3.5,0.29,0.28,173
295,東洋水産,カップ,赤いまめきつねうどん　東,あり,41,33,188,4.3,9.2,22,0.9,1.7,0.13,0.14,74
296,東洋水産,カップ,赤いまめきつねうどん　西,あり,41,33,190,4.2,9.2,22.7,1.1,1.5,0.11,0.13,80
297,東洋水産,カップ,黒い豚カレーうどん,あり,87,66,387,8,16.4,51.8,2,3.5,1.89,0.29,157
298,東洋水産,カップ,黒いまめ豚カレーうどん,あり,43,33,190,3.6,8.2,25.4,1,1.5,0.86,0.13,74
299,東洋水産,カップ,白い力もちうどん,あり,109,66,425,8.3,15.5,63,1.7,3,0.26,0.26,153
300,東洋水産,カップ,あじわい豚汁うどん,あり,109,70,430,10.2,20.4,51.3,1.6,3.9,0.31,0.37,153
301,東洋水産,カップ,濃厚肉だしうどん,あり,44,33,211,3.5,11.2,24.1,0.8,1.3,0.13,0.12,84
302,東洋水産,カップ,だし香るまめ天ぷらうどん,なし,91,69,347,6.8,14.6,47.2,4.3,,0.3,0.36,137
303,東洋水産,カップ,日本うまいもん　吉田のうどん,あり,101,70,405,10.2,15,57.2,2.6,4.5,0.37,0.35,162
304,東洋水産,カップ,バリうま ごぼ天うどん,あり,89,66,407,6.7,18.1,54.4,1.8,3.2,0.25,0.28,169
305,東洋水産,カップ,バリうまごぼ天うどん でか盛,あり,111,90,505,9.2,24.3,62.4,2.4,4.5,0.37,0.37,200
306,東洋水産,カップ,バリうま　まめごぼ天うどん,あり,40,33,186,2.9,9.2,22.9,0.9,1.6,0.12,0.13,72
307,東洋水産,カップ,和庵 一枚お揚げのきつねうどん,あり,85,66,381,9.2,16.6,48.7,1.9,3.2,0.24,0.28,162
308,東洋水産,カップ,和庵 味わい牛肉の肉うどん,あり,80,66,354,7,14.8,48.1,1.6,3.6,0.62,0.29,168
309,東洋水産,カップ,ごつ盛り きつねうどん,あり,108,86,492,11.4,22.7,60.4,2.6,4.5,0.3,0.39,194
310,東洋水産,カップ,うまいつゆ 天ぷらうどん,あり,69,55,321,5.6,17,36.4,1.5,2.2,0.26,0.28,104
311,東洋水産,カップ,うまいつゆ 塩分オフ きつねうどん,あり,69,55,308,6.5,14.4,38.1,0.9,1.7,0.27,0.32,117
312,東洋水産,カップ,緑のたぬき天そば　東,あり,101,72,480,11.2,24.8,52.9,1.9,4,0.37,0.28,152
313,東洋水産,カップ,緑のたぬき天そば　西,あり,101,72,480,11.3,24.7,53.1,2.1,3.8,0.38,0.28,162
314,東洋水産,カップ,緑のたぬき天そば　関西,あり,101,72,479,11.4,24.6,52.9,2,4,0.39,0.3,162
315,東洋水産,カップ,緑のたぬき天そば　北海道,あり,101,72,480,11.2,24.7,53.3,2.1,3.9,0.39,0.32,162
316,東洋水産,カップ,緑のたぬき天そば でか盛(東向け),あり,146,100,725,15.2,41.2,73.4,2.9,4.6,0.52,0.44,219
317,東洋水産,カップ,緑のたぬき天そば でか盛(西向け),あり,146,100,720,15.5,40.2,74.1,2.5,5,0.5,0.4,234
318,東洋水産,カップ,緑のまめたぬき天そば　東,あり,45,34,218,4.5,12.2,22.5,1,1.7,0.14,0.12,72
319,東洋水産,カップ,緑のまめたぬき天そば　西,あり,45,34,218,4.5,12.2,22.6,1.2,1.5,0.14,0.11,72
320,東洋水産,カップ,緑のたぬき天そば ぶ厚い特製天ぷら入り(東向け),あり,105,72,501,11.2,25.8,55.9,2.3,3.5,0.35,0.28,147
321,東洋水産,カップ,緑のたぬき天そば ぶ厚い特製天ぷら入り(西向け),あり,105,72,503,11.8,26.1,55.1,2.3,3.8,0.38,0.29,158
322,東洋水産,カップ,紺のきつねそば,あり,88,65,386,13.6,16.9,44.9,2,3.3,0.39,0.45,158
323,東洋水産,カップ,おそば屋さんのカレー南ばんそば,あり,84,65,359,11.8,15.1,44,1.9,3.8,0.59,0.34,143
324,東洋水産,カップ,おそば屋さんの鴨だしそば,あり,98,65,384,12,18,43.5,1.5,3.9,0.34,0.32,157
325,東洋水産,カップ,おそば屋さんのまめ鴨だしそば,あり,48,34,200,5.5,9.8,22.4,0.8,1.5,0.18,0.17,78
326,東洋水産,カップ,山菜乱切りそば,あり,79,65,350,9.9,14.4,45.1,2.1,3.5,0.31,0.32,142
327,東洋水産,カップ,和庵 一枚天ぷらの天ぷらそば,あり,88,63,421,9.9,21.6,46.8,1.7,3.4,0.31,0.29,141
328,東洋水産,カップ,ごつ盛り 天ぷらそば,あり,114,84,548,12.5,27.6,62.4,1.7,5,0.41,0.41,194
329,東洋水産,カップ,うまいつゆ 肉そば,あり,71,55,320,9.7,14.9,36.8,1.3,2.9,0.31,0.25,121
330,東洋水産,カップ,うまいつゆ 鴨だしそば,あり,71,55,310,9.2,13.3,38.3,1.5,3.2,0.3,0.26,121
331,東洋水産,カップ,うまいつゆ 塩分オフ 天ぷらそば,あり,72,55,317,8.9,15,36.7,1,1.8,0.35,0.35,130
332,東洋水産,カップ,MARUCHAN　QTTA　コクしょうゆ味,あり,78,66,345,9.7,13,47.2,2,2.3,0.6,0.3,172
333,東洋水産,カップ,MARUCHAN QTTA シーフード味,あり,79,66,343,8.7,12.4,49.1,1.7,2.1,0.26,0.3,213
334,東洋水産,カップ,MARUCHAN QTTA コク味噌味,あり,87,66,378,9.8,14.3,52.5,1.9,2.3,0.32,0.37,157
335,東洋水産,カップ,MARUCHAN QTTA 猛烈激辛味,あり,85,66,369,9,14,51.8,1.9,2.2,0.31,0.33,162
336,東洋水産,カップ,MARUCHAN QTTA サワークリームオニオン味,あり,82,61,371,6.6,15.2,52,1.5,1.9,0.3,0.3,139
337,東洋水産,カップ,麺づくり 鶏ガラ醤油,あり,97,65,297,9,5.4,53.1,2,4.2,0.54,0.33,154
338,東洋水産,カップ,麺づくり 合わせ味噌,あり,104,65,337,9.7,8.6,55.3,1.3,4.2,0.25,0.31,166
339,東洋水産,カップ,麺づくり 旨コク豚骨,あり,87,65,344,12.4,9.5,52.3,1.6,3.8,0.27,0.31,174
340,東洋水産,カップ,麺づくり 鶏だし塩,あり,87,65,311,8,7.5,52.9,1.5,4.2,0.26,0.29,148
341,東洋水産,カップ,麺づくり 担担麺,あり,110,65,389,11.1,13.1,56.7,1.8,4,0.27,0.25,231
342,東洋水産,カップ,麺づくり 醤油とんこつ,あり,89,65,317,8.8,7.8,53,2.2,4.1,0.27,0.29,205
343,東洋水産,カップ,マルちゃん正麺 カップ 芳醇こく醤油,あり,119,75,395,13,11.3,60.2,1.9,4.2,0.3,0.4,202
344,東洋水産,カップ,マルちゃん正麺 カップ 香味まろ味噌,あり,129,75,454,13,14.7,67.4,2,3.5,0.25,0.31,194
345,東洋水産,カップ,マルちゃん正麺 カップ うま辛担々麺,あり,126,75,465,13.9,15.9,66.6,2,4.1,0.64,0.37,290
